"20.09.2020,11.51 Uhr",Breathe,Jax Jones feat. Ina Wroldsen
"20.09.2020,11.49 Uhr",Old Town Road,Lil Nas X feat. Billy Ray Cyrus
"20.09.2020,11.45 Uhr",Dynamite,BTS
"20.09.2020,11.41 Uhr",The Magic Key,One-T feat. Cool-T
"20.09.2020,11.35 Uhr",Malibu,Miley Cyrus
"20.09.2020,11.32 Uhr",Love to Go,Lost Frequencies;Zonderling & Kelvin Jones
"20.09.2020,11.26 Uhr",Easy,Kyd the Band x Elley Duhé
"20.09.2020,11.23 Uhr",Treat you better,Shawn Mendes
"20.09.2020,11.21 Uhr",Breaking Me,Topic feat. A7S
"20.09.2020,11.14 Uhr",Good Old Days,Macklemore feat. Kesha
